gvkey,name,dm3_sh,gptdata_overall
1004,Aar Corp,,
1013,,,
1045,American Airlines Group Inc.,.0053655416622075,0
1050,Ceco Environmental Corp,.0080753573904843,1
1056,,,
1072,,,
1075,Pinnacle West Capital Corp,.0100560227211129,1
1076,"Prog Holdings, Inc.",.0054118034724992,1
1078,Abbott Laboratories,.0112580671065073,1
1082,,,
1084,,,
1094,,.0085744820077424,
1096,,.0034390765113202,
1104,Acme United Corp,.0064754996443056,0
1117,Bk Technologies Corp,,
1119,"Adams Diversified Equity Fund, Inc.",.0074000698060696,
1121,"Adams Resources & Energy, Inc.",.0136445281020407,0
1161,Advanced Micro Devices Inc,.0166044562118251,0
1166,,.0095757390908435,
1173,,,
1177,,,
1186,Agnico Eagle Mines Ltd,.0056679114680036,
1209,"Air Products & Chemicals, Inc.",.0085093353593604,0
1210,Air T Inc,,
1224,,.0073595963496427,
1225,,.007327056245714,
1230,"Alaska Air Group, Inc.",.0058584067138901,0
1234,Atrion Corp,.0103514795467241,0
1239,,,
1240,,,
1254,"Matson, Inc.",.0086051402037975,0
1257,Alexanders Inc,,0
1262,,.0071162154684015,
1266,"Alico, Inc.",.0090851740287612,
1274,,.0112355970556781,
1279,,,
1300,Honeywell International Inc,.0135454337764421,
1327,"Skyworks Solutions, Inc.",.0118742674775207,2
1352,,.0051608903055251,
1380,Hess Corp,.0094142194442371,0
1382,,,
1388,,,
1393,U-Haul Holding Co /Nv/,,
1397,,,
1408,,,
1410,Abm Industries Inc /De/,.0043491206200721,1
1414,"Primerica, Inc.",.0036897042519757,1
1417,Invesco Bond Fund,.012468199585649,
1429,,,
1439,,.0076876193208837,
1440,American Electric Power Co Inc,.0109741945921891,0
1447,American Express Co,.0213690291881011,2
1449,Aflac Inc,.0041749789540742,0
1468,,,
1487,"American International Group, Inc.",.0134432392324942,0
1496,,,
1507,,.0088511155570028,
1526,,.0111165048059356,
1533,,,
1545,American Realty Investors Inc,,
1554,,,
1559,American Shared Hospital Services,,
1562,American Software Inc,,
1585,American Vanguard Corp,.0077639936954445,1
1598,Ametek Inc/,.0106538207444962,2
1602,Amgen Inc,.0127135042649925,0
1613,Ampco Pittsburgh Corp,,
1618,Amrep Corp.,,
1632,Analog Devices Inc,.0115066919433474,1
1633,,,
1634,,,
1651,,,
1655,,,
1659,"Andersons, Inc.",.0080718281793047,0
1661,Nabors Industries Ltd,.0069154496326724,1
1678,Apa Corp,.0105884105575876,0
1686,"Apogee Enterprises, Inc.",,
1689,,.0077662008303003,
1690,Apple Inc.,.026850420964814,2
1704,Applied Materials Inc /De,.0119633400196592,1
1706,Enerpac Tool Group Corp,.0090679289523221,0
1712,,.0142746198126936,
1715,,,
1722,Archer-Daniels-Midland Co,.0082656687997378,2
1728,,,
1742,,.0107499834284876,
1743,Arcbest Corp /De/,.0094922929078338,0
1745,,.0064269647891637,
1773,"Arrow Electronics, Inc.",.0165502617206272,1
1783,Arts Way Manufacturing Co Inc,.0034327130453956,0
1794,Ashland Inc.,.0060119646205123,0
1820,"Astronova, Inc.",,
1823,Astronics Corp,.0128148411289948,0
1828,,.0076324756501093,
1837,,.0109104251881342,
1858,,,
1860,,,
1864,Rex American Resources Corp,.0045398369042113,1
1868,,,
1878,"Autodesk, Inc.",.0407474376626006,1
1891,Automatic Data Processing Inc,.0149123768101034,2
1913,Avery Dennison Corp,.0121291262845156,1
1919,Avnet Inc,.0175690404766174,2
1920,,.002814211164227,
1926,Azz Inc,,
1932,British American Tobacco P.L.C.,.008441649504617,
1949,Brt Apartments Corp.,.0049830018797972,0
1968,Badger Meter Inc,.0157308888596585,0
1974,,,
1976,,,
1979,Balchem Corp,.0080046210750456,0
1981,,,
1982,,.0131437091817035,
1988,Ball Corp,.0105067488977909,2
